id,question_id,answer_type,single_correct,raw_correct,oracle_correct,equiv_correct,raw_vote_missed_oracle,equiv_recovers_raw,sc3_recovers_single,sc3_regresses_single,raw_selected_support,equiv_selected_support,raw_unique_count,equiv_cluster_count,gold,single_pred_answer,raw_selected_answer,equiv_selected_answer,pred_answers
0,1,number,True,False,True,False,True,False,False,True,2,2,2,2,\boxed{6},6,7,7,"['6', '7', '7']"
2,3,set,True,True,True,True,False,False,False,False,3,3,1,1,"\boxed{\{1, 2, 3\}}","\{1, 2, 3\}","\{1, 2, 3\}","\{1, 2, 3\}","['\\{1, 2, 3\\}', '\\{1, 2, 3\\}', '\\{1, 2, 3\\}']"
3,4,number,False,True,True,True,False,False,True,False,1,1,3,3,\boxed{512578},\frac{2025}{4},512578,512578,"['512578', '\\frac{2025}{4}', '\\frac{2025^2}{8}']"
4,5,variable,False,True,True,True,False,False,True,False,1,1,3,3,$$\boxed{\dfrac{(2+\sqrt{3})^{2^{2-n}}+(2-\sqrt{3})^{2^{2-n}}}{2}}$$,,a_n = \frac{ (2+\sqrt{3})^{2^{2-n}} + (2-\sqrt{3})^{2^{2-n}} }{2},a_n = \frac{ (2+\sqrt{3})^{2^{2-n}} + (2-\sqrt{3})^{2^{2-n}} }{2},"['a_n = \\frac{ (2+\\sqrt{3})^{2^{2-n}} + (2-\\sqrt{3})^{2^{2-n}} }{2}', 'a_n = \\frac{2^{2^{n-1}} + 1}{2^{2^{n-1}} - 1}', 'a_n = \\left(\\frac{3^{2^{n-2}}+2^{2^{n-2}}}{3^{2^{n-2}}-2^{2^{n-2}}}\\right)^2']"
5,6,number,False,True,True,True,False,False,True,False,1,1,3,3,\boxed{1382935444},4139594096,1382935444,1382935444,"['1382935444', '4139594096', '1037287350']"
6,7,set,False,False,False,False,False,False,False,False,1,2,3,2,"\boxed{\{0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30\}}","\{0, 2, 4, 6, 12, 16, 26\}","\{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31\}","\{0, 2, 4, 6, 12, 16, 26\}","['\\{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31\\}', '\\{0, 2, 4, 6, 12, 16, 26\\}', '\\{0, 2, 4, 6, 12, 16, 24, 26\\}']"
7,8,number,False,False,False,False,False,False,False,False,2,2,2,2,\boxed{\frac{{15} + 5\sqrt{5}}{6} \cdot \sqrt[3]{{14} - 6\sqrt{5}}},\frac{10\cdot 3^{2/3}}{4+\sqrt{3}},3.6465,3.6465,"['3.6295', '3.6465', '3.6465']"
8,9,number,False,False,False,False,False,False,False,False,1,1,1,1,\boxed{6},5.5032,3 + \frac{3\cdot 4^{2/3} 3270^{1/3}}{35}(3270^{1/3} - 1),3 + \frac{3\cdot 4^{2/3} 3270^{1/3}}{35}(3270^{1/3} - 1),"[None, None, '3 + \\frac{3\\cdot 4^{2/3} 3270^{1/3}}{35}(3270^{1/3} - 1)']"
9,10,number,False,False,False,False,False,False,False,False,2,2,2,2,\boxed{-9126},-13689,-13689,-13689,"['-13689', '-13689', '-7203.3']"
10,11,number,True,False,False,False,False,False,False,True,2,2,2,2,\boxed{10},10,3,3,"['\\infty', '3', '3']"
11,12,number,False,False,False,False,False,False,False,False,1,1,3,3,\boxed{\frac{3}{5} \cdot \sqrt{{4678570} + {2280}\sqrt{4210702}}},1026\sqrt{2},\sqrt{\frac{4210708.25}{2}},\sqrt{\frac{4210708.25}{2}},"['\\sqrt{\\frac{4210708.25}{2}}', '1185', '\\sqrt{\\frac{5 + \\left(1 + \\frac{\\sqrt{276356859264}}{4104}\\right)^2}{\\frac{5}{4} + \\left(1 - \\frac{\\sqrt{276356859264}}{32832}\\right)^2}}']"
12,13,number,False,True,True,True,False,False,True,False,1,2,3,2,\boxed{\frac{33497570861567}{2}},,\frac{33497570861567}{2},\frac{33497570861567}{2},"['\\frac{33497570861567}{2}', '16748785430783.5', '2016.6903']"
13,14,number,False,False,False,False,False,False,False,False,2,2,2,2,\boxed{59},\text{No such primes exist},\text{No such primes exist},\text{No such primes exist},"['\\text{No such primes exist}', '\\text{No such primes exist}', '47']"
14,15,number,False,False,False,False,False,False,False,False,1,1,3,3,\boxed{\frac{9\sqrt{3}}{2}},2,\frac{994 - 91\sqrt{34}}{81},\frac{994 - 91\sqrt{34}}{81},"['\\frac{994 - 91\\sqrt{34}}{81}', '\\frac{514}{255}', '\\frac{181\\sqrt{10}}{30}']"
15,16,number,True,False,False,False,False,False,False,True,1,1,3,3,\boxed{68},68,68.04,68.04,"['68.04', '\\frac{1892 - 512\\sqrt{2}}{17}', '60']"
16,17,number,False,False,False,False,False,False,False,False,1,1,3,3,\boxed{2016},14568,14683,14683,"['14683', '2032', '14566']"
